annotation,cellType
0_0:seam cell,muscle
"1_0:germline, pharyngeal muscle pm8",muscle
1_1:BW muscles,muscle
1_2:intestinal muscles,muscle
2_0:posterior hypodermis,hypodermis
3_0:germline,germline
3_1:intestine,intestine
3_2:intestine,intestine
"3_3:germline, sperm",germline
3_4:intestine,intestine
3_5:intestine,intestine
4_0:BW muscles,muscle
4_1:BW muscles,muscle
4_2:head muscle,muscle
5_0:CEP socket,neuron
5_1:CEP socket,neuron
6_0:motor neurons,neuron
6_1:VA/VB motor neurons,neuron
6_2:motor neurons,neuron
6_3:motor neurons,neuron
7_0:vulval muscle,muscle
7_1:vulval muscle,muscle
7_2:anal and uterine muscles,muscle
7_3:anal and vulval muscles,muscle
"7_4:inestinal, anal and uterine muscles",muscle
8_0:NA hypodermis,hypodermis
9_0:pharyngeal epithelium,pharynx
9_1:pharyngeal epithelium and marginal,pharynx
9_2:pharyngeal epithelium and marginal,pharynx
10_0:VD motor neurons,neuron
11_0:vulva,muscle
11_1:uterus vulva interface,uterus_vulva
11_2:uterus vulva interface,uterus_vulva
11_3:uterine seam cell,uterus_vulva
12_0:coelomocyte,coelomocyte
13_0:CEP socket?,neuron
13_1:uterine epithelial cell,uterus_vulva
14_0:AS/VA motor neurons,neuron
14_1:AS/VA/SAB motor neurons,neuron
14_2:AS11/VA/PDB motor neurons,neuron
15_0:pharyngeal arcade?,pharynx
16_0:NA socket glia,glia
17_0:HSN motor neurons,neuron
18_0:gonadal sheath cell,uterus_vulva
19_0:VC1-5 neurons,neuron
20_0:touch neurons,neuron
20_1:neurons,neuron
20_2:PLM neurons,neuron
21_0:inner labial sheath,uterus_vulva
21_1:NA glia or tail hypodermis,glia
22_0:SIB neurons,neuron
23_0:GLR cells,neuron
24_0:pharyngeal epithelium,pharynx
24_1:pharyngeal muscle,pharynx
25_0:IL2 neurons,neuron
25_1:IL2 neurons,neuron
26_0:pharyngeal muscle 7,pharynx
26_1:pharyngeal muscle and epithelium,pharynx
"26_2:pharyngeal muscle 6,7",pharynx
27_0:NA epithelium,epithelium
28_0:lumbar ganglion neurons,neuron
29_0:NA interneurons,neuron
30_0:intestino-rectal valve,intestine
30_1:hypodermis?,hypodermis
30_2:hypodermis?,hypodermis
30_3:rectal glands,intestine
30_4:pharyngeal-intestinal valve,pharynx
30_5:OLQ/IL sheath?,sheath
31_0:DTC distal tip,sheath
32_0:SMD motor neurons,neuron
33_0:hypodermis,hypodermis
33_1:hyp2,hypodermis
34_0:NA glia,glia
34_1:PH socket,sheath
35_0:AFD amphid neurons,neuron
35_1:ASEL amphid neurons,neuron
35_2:AWC amphid neurons,neuron
35_3:AWC-ON amphid neurons,neuron
35_4:ASE amphid neurons,neuron
36_0:CEP neurons,neuron
36_2:neurons,neuron
36_3:PDE neurons,neuron
37_0:CEP sheath,neuron
"38_0:intestinal, and vulva muscles",muscle
38_1:anal muscle,muscle
38_2:anal muscle,muscle
38_3:NA muscle,muscle
39_0:URX neurons,neuron
39_1:URX neurons,neuron
39_2:AQR/PQR sensory neurons,neuron
39_3:RIP neurons,neuron
40_0:XXX,unknown
41_0:pharyngeal gland,pharynx
41_1:NA pharyngeal epithelium,pharynx
41_2:marginal cells,sheath
42_0:NA excretory,intestine
43_0:spermatheca,germline
44_0:IL1 neurons ventral dorsal,neuron
44_1:IL1 neurons lateral,neuron
45_0:AM sheath,sheath
46_0:SIA/SIB inter neurons,neuron
47_0:PHA/PHB amphid neurons,neuron
47_1:ASH amphid neurons,neuron
48_0:RIC inter neurons,neuron
49_0:AVD inter neurons,neuron
50_0:PVP anal neurons,neuron
51_0:SDQ inter neurons,neuron
51_1:SDQ inter neurons,neuron
52_0:RMD motor neurons,neuron
53_0:M2 motor neurons,neuron
54_0:PHC and PVM neurons,neuron
55_0:URA/B motor/inter neurons ,neuron
56_0:M2 motor neurons,neuron
57_0:dorsal uterine cell,uterus_vulva
57_1:germline,germline
58_0:pharyngeal inter neurons 2,pharynx
58_1:pharyngeal inter neurons 1/3/6,pharynx
59_0:MI neurons,neuron
60_0:spermathecal-uterine valve,germline
61_0:AVA/B inter neurons,neuron
62_0:PVQ inter neurons,neuron
63_0:ASK amphid neurons,neuron
64_0:hypodermis,hypodermis
65_0:URY neurons?,neuron
66_0:male inter neurons,neuron
67_0:pharyngeal neurons,neuron
68_0:NA motor neurons,neuron
68_1:uterine-vulva cell,uterus_vulva
69_0:excretory canal neurons,neuron
70_0:PVD inter neurons,neuron
70_1:FLP neurons,neuron
71_0:ASG amphid neurons,neuron
72_0:OLQ sensory neurons,neuron
73_0:PVC inter neurons,neuron
74_0:NA inter neurons,neuron
75_0:NA neurons,neuron
76_0:NA motor neurons,neuron
77_0:ASI amphid neurons,neuron
78_0:pharyngeal gland cell,pharynx
79_0:PH sheath,sheath
79_1:excretory cell,neuron
79_2:AM sheath,sheath
80_0:BDU/PVW inter neurons,neuron
81_0:ADL amphid neurons,neuron
"82_0:excretory pore, hypodermis, seam, vulF",intestine
"82_1:excretory system, hypodermis, arcade, sheath and socket",intestine
83_0:RIA inter neurons,neuron
84_0:ADF amphid neurons,neuron
85_0:BAG neurons,neuron
86_0:AVB inter neurons,neuron
87_0:AIZ amphid inter neurons,neuron
88_0:NA glia,glia
89_0:excretory gland cell,intestine
90_0:AUA neurons,neuron
91_0:AIN inter neurons,neuron
92_0:AIM inter neurons,neuron
93_0:ADA inter neurons,neuron
94_0:RMH motor neurons,neuron
95_0:M1 motor neurons,neuron
96_0:M5 motor neurons,neuron
97_0:AIB inter neurons,neuron
"98_0:VC1-3,6 motor neurons",neuron
99_0:ASJ amphid neurons,neuron
100_0:OLL sensory neurons,neuron
101_0:AWB amphid neurons,neuron
102_0:sphincter muscle,neuron
103_0:DVA inter neurons,neuron
104_0:AIA inter neurons,neuron
105_0:I5 inter neurons,neuron
106_0:AWA amphid neurons,neuron
107_0:RMG motor neurons,neuron
108_0:LUA inter neurons,neuron
109_0:RME motor neurons,neuron
110_0:coelomocyte,coelomocyte
110_1:hmc head mesoderm,hypodermis
111_0:RMD motor neurons,neuron
112_0:AIA/AIY inter neurons,neuron
113_0:NA inter neurons,neuron
114_0:DVC inter neurons,neuron
"115_0:RIV/SAA inter neurons, SMB motor neurons",neuron
116_0:NSM motor neurons ,neuron
117_0:DD motor neurons,neuron
"118_0:AVL/DVB, RME motor neurons",neuron
119_0:GLR cells,glia
120_0:AVJ/RIM inter neurons,neuron
121_0:RIB inter neurons,neuron
122_0:RIG inter neurons,neuron
123_0:AVF inter neurons,neuron
124_0:I4 inter neurons,neuron
125_0:M3 motor neurons,neuron
126_0:M4 motor neurons,neuron
127_0:NA motor neurons,neuron
128_0:RIH inter neurons,neuron
129_0:RID motor neurons,neuron
130_0:VD motor neurons,neuron
131_0:AVG inter neurons ,neuron
132_0:AS motor neurons,neuron
133_0:NA motor neurons,neuron
134_0:NA sensory neurons,neuron
135_0:I6 inter neurons,neuron
136_0:DA/PDA tail motor neurons,neuron
137_0:PVR inter neurons,neuron
138_0:PVT inter neurons,neuron
139_0:NA pharyngeal neurons,neuron
140_0:ALA neurons,neuron
141_0:NA sheath glia,glia
142_0:RIR inter neurons,neuron
143_0:vulval muscle 1,muscle
144_0:RIS inter neurons,neuron
145_0:VC motor neurons 4-5,neuron
146_0:uterine-vulval cell,uterus_vulva
